Item Fat Content,Item Identifier,Si No,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility, Sales ,Rating
Low Fat,FDR45,73,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028988288, $239.22 ,5
Low Fat,FDV09,74,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.020600553, $147.57 ,5
Regular,FDU12,75,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.075868843, $261.76 ,5
Regular,FDZ47,76,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.079419755, $99.80 ,5
Regular,FDO11,77,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030311951, $247.41 ,5
Regular,FDU49,78,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030742083, $85.55 ,5
Regular,FDA02,79,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02976887, $145.48 ,5
Regular,FDV26,80,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0, $194.28 ,5
Regular,FDA04,81,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.066833743, $257.30 ,5
Regular,FDO52,82,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.077284566, $172.41 ,5
Regular,FDA40,83,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.09942555, $87.09 ,5
Regular,FDS27,84,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.012477512, $197.11 ,5
Regular,FDU15,85,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026643448, $37.95 ,5
Regular,FDV33,86,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.027386122, $259.23 ,5
Regular,FDV34,87,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011443222, $73.50 ,5
Regular,FDX46,88,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.058207114, $59.16 ,5
low fat,NCA53,89,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.009893817, $50.30 ,5
Regular,FDT24,90,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.18614827, $78.23 ,5
Regular,FDX27,91,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.114294512, $94.94 ,5
Low Fat,NCQ38,92,Others,2018,OUT019,Tier 1,Small,Grocery Store,0.023402893, $108.23 ,5
Low Fat,FDK02,93,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.196490902, $120.54 ,5
Low Fat,FDI15,94,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.24749009, $263.19 ,5
Low Fat,FDE09,95,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.037824735, $109.72 ,5
Low Fat,FDS55,96,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.142107998, $150.37 ,5
Low Fat,FDZ56,97,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.04506213, $167.55 ,5
Low Fat,NCA05,98,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.044000492, $148.27 ,5
Low Fat,NCK29,99,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0, $123.47 ,5
Low Fat,NCU29,100,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.044607722, $145.98 ,5
Low Fat,NCX41,101,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.031024168, $210.52 ,5
Low Fat,NCG07,102,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.091924311, $189.75 ,5
Low Fat,NCI30,103,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.103188491, $244.35 ,5
Low Fat,NCR54,104,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.158562708, $194.71 ,5
Low Fat,NCT06,105,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.067824456, $167.78 ,5
Low Fat,FDN15,106,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.029299175, $140.32 ,5
Low Fat,FDJ45,107,Seafood,2018,OUT019,Tier 1,Small,Grocery Store,0.128532558, $34.22 ,5
Regular,FDL13,108,Breakfast,2018,OUT019,Tier 1,Small,Grocery Store,0.098606543, $232.73 ,5
Regular,FDL02,109,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.182236555, $107.16 ,5
Regular,FDF56,110,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.209162936, $179.20 ,5
Regular,FDQ27,111,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.077480627, $101.40 ,5
Regular,FDG35,112,Starchy Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.012327847, $173.87 ,5
Regular,FDD38,113,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.014342659, $103.77 ,5
Regular,FDE41,114,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0, $83.76 ,5
Low Fat,FDP24,115,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.083004078, $119.48 ,5
Low Fat,FDH38,116,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01043823, $115.88 ,5
Low Fat,FDT49,117,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.151405587, $107.73 ,5
Low Fat,FDN02,118,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.073827748, $208.86 ,5
Low Fat,DRF27,119,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.028417272, $154.53 ,5
Low Fat,FDT02,120,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.024194731, $36.19 ,5
Low Fat,FDF05,121,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02687089, $264.49 ,5
Low Fat,FDI45,122,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.037581243, $175.51 ,5
Low Fat,FDZ20,123,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.034306962, $252.34 ,5
Low Fat,NCC42,124,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.044908404, $140.28 ,5
Low Fat,NCQ53,125,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.018905326, $234.66 ,5
Low Fat,NCR54,126,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.090562192, $198.21 ,5
Low Fat,NCX06,127,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.015687045, $182.70 ,5
Low Fat,NCO06,128,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.108030434, $32.46 ,5
Low Fat,NCN54,129,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.021326471, $76.13 ,5
Low Fat,FDL27,130,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.010630949, $65.98 ,5
Low Fat,FDV51,131,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.032538896, $165.78 ,5
Low Fat,FDC46,132,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.116542484, $182.63 ,5
Low Fat,FDZ58,133,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.052176861, $122.81 ,5
Low Fat,FDN21,134,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.076855628, $161.02 ,5
Low Fat,FDO58,135,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.039577173, $166.15 ,5
Low Fat,DRD24,136,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.030795085, $143.32 ,5
Low Fat,DRI37,137,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.107597879, $58.79 ,5
Regular,FDI12,138,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.10039894, $89.69 ,5
Regular,FDP12,139,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.045266806, $36.99 ,5
Regular,FDO01,140,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,0.020718655, $130.50 ,5
Regular,FDZ37,141,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.019768503, $88.62 ,5
Regular,FDJ15,142,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023322478, $182.56 ,5
Regular,FDM04,143,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04712061, $53.17 ,5
Regular,FDI40,144,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.125602951, $100.84 ,5
Regular,FDX04,145,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.041571557, $49.94 ,5
Regular,FDS15,146,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.078060601, $106.36 ,5
Regular,FDJ57,147,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.021573645, $184.66 ,5
Regular,FDG21,148,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.146299902, $150.41 ,5
Regular,FDW21,149,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.005963881, $99.54 ,5
Regular,FDX10,150,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.123710526, $37.19 ,5
Low Fat,DRI51,151,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0, $171.58 ,5
Low Fat,NCZ17,152,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,0, $39.15 ,5
Low Fat,DRE25,153,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.073697713, $91.91 ,5
Low Fat,FDT60,154,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.075701524, $124.64 ,5
Low Fat,FDN24,155,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.11349714, $56.20 ,5
Low Fat,FDO37,156,Breakfast,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.021420031, $232.03 ,5
Low Fat,FDI14,157,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.089859642, $140.25 ,5
Low Fat,FDW37,158,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.124301968, $89.75 ,5
Low Fat,DRC27,159,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.058220302, $247.48 ,5
Low Fat,FDK16,160,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.115563679, $96.01 ,5
Low Fat,FDK41,161,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.12780038, $83.62 ,5
Low Fat,FDY31,162,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.043651198, $146.14 ,5
Low Fat,FDT20,163,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.041479396, $36.82 ,5
Low Fat,FDI45,164,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.037657459, $175.81 ,5
Low Fat,FDG57,165,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.072444983, $48.60 ,5
Low Fat,FDN32,166,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.015591925, $184.83 ,5
Low Fat,FDX19,167,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.096929994, $233.90 ,5
Low Fat,FDP20,168,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.045761855, $125.60 ,5
Low Fat,NCR17,169,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.024432767, $116.45 ,5
Low Fat,NCT17,170,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041950753, $190.02 ,5
Low Fat,NCU05,171,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.058855357, $79.16 ,5
Low Fat,NCT42,172,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.024937792, $148.44 ,5
Low Fat,NCV18,173,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.105459307, $84.63 ,5
Low Fat,NCH43,174,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.070712031, $216.42 ,5
Low Fat,NCE18,175,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.021468792, $251.68 ,5
Low Fat,NCC18,176,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.177629525, $173.94 ,5
Low Fat,NCJ42,177,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.01433033, $104.23 ,5
Low Fat,FDQ10,178,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03324652, $172.44 ,5
Low Fat,FDL34,179,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041028937, $142.65 ,5
Low Fat,DRK37,180,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0, $189.85 ,5
Low Fat,DRF48,181,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.05190652, $188.19 ,5
Low Fat,DRG49,182,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.067592098, $246.05 ,5
Low Fat,FDX60,183,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.081050006, $79.20 ,5
Low Fat,FDS13,184,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.125210375, $266.89 ,5
Low Fat,FDC50,185,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.13727, $94.41 ,5
Low Fat,FDK51,186,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005264755, $264.59 ,5
Low Fat,FDD17,187,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.032811503, $239.69 ,5
Low Fat,FDJ28,188,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.021984639, $191.22 ,5
Low Fat,FDP16,189,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.039517121, $243.68 ,5
Low Fat,FDB20,190,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.052274691, $79.20 ,5
Low Fat,FDP56,191,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.046747071, $49.97 ,5
Low Fat,FDT43,192,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.020664178, $50.83 ,5
Low Fat,DRI59,193,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.041065647, $223.51 ,5
Low Fat,DRN47,194,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.016921927, $178.37 ,5
Low Fat,DRM23,195,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.136500981, $173.34 ,5
Low Fat,NCN53,196,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.030527166, $33.59 ,5
Low Fat,NCT53,197,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.048388423, $163.05 ,5
Low Fat,NCQ05,198,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0, $149.27 ,5
Low Fat,NCM53,199,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.05233528, $108.13 ,5
Low Fat,NCX42,200,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.006012413, $163.05 ,5
Low Fat,NCT18,201,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.059741172, $179.70 ,5
Low Fat,NCI30,202,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.059268885, $246.45 ,5
Low Fat,NCE54,203,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.027052018, $73.94 ,5
Low Fat,FDH19,204,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.033275634, $173.87 ,5
Low Fat,FDT03,205,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.01005532, $183.16 ,5
Low Fat,NCN19,206,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.012167988, $190.25 ,5
Low Fat,NCQ43,207,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.111931193, $108.89 ,5
Low Fat,FDK09,208,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.092282353, $227.24 ,5
Low Fat,FDV46,209,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.012679191, $139.82 ,5
Low Fat,FDY46,210,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.048160824, $188.99 ,5
Regular,FDK26,211,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.032242661, $187.62 ,5
Regular,FDI50,212,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.030905215, $227.64 ,5
Regular,FDB26,213,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.031330907, $52.36 ,5
Regular,FDY49,214,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.012036432, $165.72 ,5
Regular,FDB04,215,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.063354531, $88.99 ,5
Regular,FDA02,216,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.029782937, $146.38 ,5
Regular,FDZ28,217,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.051596927, $128.07 ,5
Regular,FDE17,218,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.054565932, $152.24 ,5
Regular,FDQ19,219,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.014394261, $241.35 ,5
Regular,FDM08,220,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.053692878, $222.91 ,5
Regular,FDP03,221,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.061301149, $122.14 ,5
Regular,FDU58,222,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0, $186.49 ,5
Regular,FDU46,223,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.011148865, $84.85 ,5
Regular,FDY34,224,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.01100413, $167.18 ,5
Regular,FDO09,225,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.125528734, $262.19 ,5
Regular,FDP48,226,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.044272226, $181.40 ,5
Regular,FDI12,227,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.100966837, $86.89 ,5
Regular,FDY12,228,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.141406394, $50.00 ,5
Regular,FDX48,229,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.038102203, $154.07 ,5
Regular,FDV60,230,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.118025091, $195.81 ,5
